X;Y;Stasiun;Average_CH
436301;9139481;Adisucipto;366,50
431422;9120840;Dogongan;247,50
464976;9121922;Gedangan;295,88
413063;9131435;Gembongan;363,50
401814;9132193;Hargorejo;294,75
418785;9151469;Kalibawang;341,75
415628;9135217;Kalijoho;361,25
429043;9154894;Ledoknongko;407,00
427136;9119801;Pundong;376,13
438500;9133150;Karang Ploso;341,50
441350;9128200;Terong;217,63
427769;9132204;Nyemengan;375,00
410561;9142763;Kenteng;217,14
418252;9123306;Sapon;328,25
435852;9114105;Panggang;358,00
456122;9128272;Kedung Keris;301,75
466866;9133563;Ngawen;256,63
425650;9153100;Tempel;412,38
426850;9150350;Jetis Medari;415,63
434300;9154700;Kemput;436,75
430500;9150600;Angin-angin;258,13
436668;9158314;Ngipiksari;612,75
408215;9140645;Girimulyo;316,63
401127;9139600;Kokap;329,38
412339;9138915;Nanggulan;286,38
408396;9150098;Samigaluh;399,25
406510;9131998;Tambak;199,75
